iter	Passed	Remaining
0	66	19904
1	76	11432
2	85	8438
3	92	6863
4	100	5934
5	107	5291
6	115	4834
7	122	4484
8	130	4210
9	137	3999
10	144	3807
11	152	3656
12	159	3525
13	167	3423
14	174	3323
15	182	3235
16	190	3163
17	197	3092
18	204	3026
19	212	2970
20	219	2920
21	227	2873
22	234	2829
23	242	2787
24	249	2746
25	257	2708
26	264	2675
27	272	2646
28	279	2616
29	287	2586
30	294	2559
31	302	2534
32	310	2511
33	318	2490
34	325	2464
35	333	2443
36	340	2421
37	348	2400
38	355	2380
39	363	2361
40	370	2341
41	378	2322
42	386	2307
43	393	2288
44	401	2272
45	410	2265
46	417	2248
47	424	2230
48	432	2216
49	440	2201
50	447	2185
51	455	2170
52	462	2157
53	470	2145
54	477	2128
55	487	2124
56	497	2119
57	505	2110
58	513	2098
59	521	2085
60	529	2074
61	537	2063
62	545	2052
63	553	2042
64	561	2030
65	570	2021
66	579	2015
67	587	2003
68	594	1991
69	602	1979
70	609	1967
71	617	1955
72	625	1944
73	632	1931
74	639	1919
75	647	1908
76	655	1897
77	663	1887
78	670	1875
79	678	1864
80	685	1854
81	693	1844
82	701	1834
83	708	1822
84	717	1814
85	725	1804
86	733	1796
87	740	1785
88	749	1776
89	756	1765
90	763	1754
91	771	1743
92	778	1733
93	786	1722
94	794	1714
95	802	1704
96	809	1694
97	816	1684
98	825	1675
99	832	1665
100	840	1656
101	848	1647
102	855	1637
103	863	1627
104	871	1617
105	878	1608
106	886	1598
107	893	1588
108	900	1578
109	908	1569
110	916	1559
111	923	1550
112	931	1542
113	939	1532
114	947	1524
115	955	1515
116	962	1505
117	970	1496
118	977	1487
119	985	1478
120	992	1468
121	1000	1459
122	1008	1450
123	1016	1442
124	1023	1433
125	1030	1423
126	1038	1414
127	1045	1404
128	1053	1396
129	1061	1388
130	1069	1379
131	1076	1370
132	1084	1361
133	1092	1353
134	1100	1344
135	1107	1335
136	1115	1327
137	1123	1318
138	1130	1309
139	1137	1300
140	1145	1291
141	1153	1282
142	1160	1273
143	1167	1265
144	1175	1256
145	1182	1247
146	1190	1239
147	1197	1230
148	1204	1221
149	1219	1219
150	1227	1211
151	1236	1204
152	1245	1196
153	1253	1188
154	1264	1183
155	1273	1175
156	1281	1167
157	1289	1158
158	1296	1150
159	1304	1141
160	1312	1132
161	1320	1124
162	1329	1117
163	1337	1108
164	1344	1100
165	1352	1091
166	1359	1082
167	1366	1073
168	1374	1065
169	1381	1056
170	1389	1048
171	1396	1039
172	1403	1030
173	1411	1022
174	1419	1013
175	1426	1005
176	1435	997
177	1442	989
178	1450	980
179	1458	972
180	1466	963
181	1473	955
182	1481	946
183	1488	938
184	1496	930
185	1504	922
186	1512	913
187	1520	905
188	1528	897
189	1535	888
190	1543	880
191	1551	872
192	1558	864
193	1566	855
194	1573	847
195	1581	839
196	1588	830
197	1596	822
198	1603	813
199	1611	805
200	1618	797
201	1626	788
202	1633	780
203	1640	772
204	1648	764
205	1656	755
206	1664	747
207	1671	739
208	1679	731
209	1686	722
210	1694	714
211	1701	706
212	1709	698
213	1716	689
214	1724	681
215	1731	673
216	1739	665
217	1746	657
218	1754	648
219	1761	640
220	1769	632
221	1776	624
222	1784	616
223	1791	607
224	1799	599
225	1807	591
226	1815	583
227	1823	575
228	1831	567
229	1839	559
230	1847	551
231	1855	543
232	1863	535
233	1870	527
234	1878	519
235	1886	511
236	1894	503
237	1901	495
238	1910	487
239	1917	479
240	1925	471
241	1932	463
242	1940	455
243	1947	447
244	1955	439
245	1964	431
246	1971	423
247	1979	415
248	1988	407
249	1995	399
250	2003	391
251	2010	382
252	2018	374
253	2025	366
254	2033	358
255	2041	350
256	2049	342
257	2057	334
258	2065	326
259	2072	318
260	2080	310
261	2087	302
262	2095	294
263	2104	286
264	2111	278
265	2119	270
266	2127	262
267	2134	254
268	2142	246
269	2149	238
270	2156	230
271	2164	222
272	2171	214
273	2179	206
274	2186	198
275	2193	190
276	2200	182
277	2208	174
278	2215	166
279	2223	158
280	2231	150
281	2238	142
282	2245	134
283	2252	126
284	2259	118
285	2267	110
286	2275	103
287	2282	95
288	2290	87
289	2297	79
290	2305	71
291	2312	63
292	2320	55
293	2327	47
294	2335	39
295	2342	31
296	2350	23
297	2357	15
298	2366	7
299	2373	0
